Open,High,Low,Close,Adj_Close,Volume
49.676914,51.693787,47.669937,49.84582,49.84582,44994500.0
118.83805,126.043365,120.292145,132.90317,134.31589,43498304.0
114.29237,120.18151,109.42829,143.24055,133.98953,39995504.0
113.6052,122.48012,115.80743,144.95634,131.59915,38006920.0
129.09064,137.39429,125.45215,149.4033,147.54782,43393148.0
118.54029,128.2847,122.16508,142.02504,138.69296,36437676.0
112.763,120.404236,111.989,136.30026,131.25735,38721716.0
115.0685,124.75415,115.42086,147.96472,138.77864,30303868.0
136.86473,148.70663,140.9593,180.28638,162.83418,26271150.0
134.70251,151.3462,143.14436,168.05795,159.35008,24077930.0
158.29567,167.92146,150.15022,158.41408,167.75797,23068210.0
130.87819,138.66965,126.98488,153.52614,152.18333,23477002.0
207.39456,215.39497,204.30524,225.49072,221.58926,13179145.0
262.4433,256.0548,247.76466,256.0092,255.02605,8454594.0
266.75064,279.1815,262.0506,288.09552,279.98196,9104436.0
282.38492,290.67908,272.90103,288.8588,282.934,7732063.5
287.15457,288.89252,284.43933,306.77155,289.28366,7210230.0
282.77173,286.68423,276.87933,292.24152,283.79578,8295360.5
271.2098,268.13968,267.83453,277.97766,273.8903,8326437.5
298.15347,304.706,297.92743,306.87802,296.07822,7982854.0
377.74152,379.11597,361.124,368.0749,361.7939,7309403.5
396.13193,392.31677,389.73712,393.10855,389.01273,5388345.5
421.8469,427.91153,421.52655,425.24542,417.30493,4659044.5
437.23923,453.37204,438.05347,457.84943,445.43228,4658189.0
410.99136,414.63684,413.02026,430.38547,420.8722,5834893.0
432.90005,435.30536,418.72424,434.7772,428.18842,5485099.5
422.66916,419.62778,411.65005,423.8999,417.5133,4803891.5
397.73645,412.62482,390.98956,395.75717,393.4859,5072339.5
385.36523,384.77603,371.42157,397.1354,379.88657,5451393.0
366.9475,373.80023,362.6547,380.30997,368.04825,6124022.0
385.64127,396.0269,377.11838,394.493,381.76486,5971305.0
373.03595,385.6991,373.49347,368.10327,375.54846,5825104.0
392.5513,402.09427,390.3025,393.21774,387.82864,4813052.0
401.5575,401.70743,388.53088,381.64664,376.96512,4787756.0
389.5791,390.3073,381.54016,386.36945,377.4291,4794344.0
377.8512,386.10043,374.25208,390.0979,381.50244,4945534.5
381.8114,398.82263,376.15308,404.71082,389.61615,6366725.5
403.87262,402.83893,381.95285,421.61053,418.52682,5650686.5
370.98206,378.39423,358.60294,355.9085,356.90036,5077053.0
390.64816,397.8986,386.04962,401.5864,390.79453,5559036.0
361.4634,362.40216,362.02005,379.23538,364.65533,5573432.5
357.9117,351.72964,345.5308,343.3375,343.7577,5409251.0
351.24963,362.01746,340.62335,362.01862,360.2019,6398264.0
355.6483,349.39554,337.5785,338.99396,332.89154,5761526.0
329.5115,352.234,332.2794,376.0557,364.03674,7415184.5
365.4485,374.19366,357.17984,358.92087,368.72546,6274421.0
354.86237,363.91443,352.74173,359.37567,347.35223,6258863.0
364.89557,363.65656,357.94592,382.4084,366.1485,5813916.0
367.41156,381.2195,365.22592,390.97952,379.47546,5749993.0
360.33987,367.652,351.4727,373.31097,372.25974,6906931.5
346.02374,349.3899,336.39978,355.21277,340.07382,7008803.0
329.95062,344.1392,317.3997,343.8752,338.97955,8044599.0
325.03558,329.37524,325.7464,344.5769,328.30414,7279880.0
319.98752,317.75027,298.1975,329.8604,327.26407,9302060.0
327.04776,329.04532,321.47607,323.61353,311.874,6222108.0
341.5616,344.15616,329.2993,329.9981,326.00925,6246333.5
365.3821,367.2871,352.0692,343.70773,342.39078,5577384.0
361.52435,359.16983,348.2086,357.8832,361.12683,6488351.0
389.18475,382.4564,373.7154,384.37253,377.8253,4922360.0
385.33914,387.8009,378.94937,382.8979,381.40454,5181847.5
372.4223,374.602,364.36172,369.9801,368.00403,6544324.5
400.75565,393.07736,381.6229,379.8125,379.8976,4710233.5
374.46777,383.41577,366.11505,381.87073,379.0073,5497759.5
377.2353,383.94492,370.9509,368.65378,361.96133,5063882.0
383.5009,377.85107,365.8476,351.9661,358.5537,5604371.5
348.2817,358.0833,344.94864,342.73694,339.9738,6038747.5
353.17996,368.2019,350.05533,360.71548,352.0604,6279980.5
312.36685,329.7779,310.9814,354.05682,350.0235,8403886.0
306.79623,314.7326,305.3012,318.8129,317.6005,7782786.0
317.10834,303.8422,296.61288,327.7213,320.5678,9445577.0
324.48856,328.81256,314.16064,325.2297,322.74155,6698877.0
344.64645,354.43103,344.28488,366.7105,354.08313,7216517.0
362.29843,363.52356,353.43234,355.1866,343.20218,6103033.0
346.28885,339.51242,334.1408,328.03235,335.1673,6033540.5
354.43024,349.04803,337.85797,341.83276,336.52444,6062731.0
337.07486,343.1619,326.31567,350.38992,355.44376,6918701.0
357.1137,372.42212,354.80417,368.5213,355.67337,6556410.0
359.0746,366.10864,355.60974,385.11777,367.88828,6711598.5
338.441,347.20294,326.3868,358.32935,346.1381,7206363.0
335.01288,335.00122,324.9426,326.6892,323.85556,5676273.5
311.62344,321.16025,302.1072,330.3433,321.39764,8285610.5
292.25055,308.05643,291.17374,332.44244,318.72827,8851675.0
295.23898,299.5628,287.12506,309.79913,302.33887,8280603.5
302.96057,304.86237,300.60022,322.42917,305.41583,7956865.5
299.24002,305.5052,289.26596,304.21097,303.37036,7971560.5
285.88016,290.9555,285.018,296.6713,291.24936,7552891.0
295.29556,290.64603,277.64636,287.27634,286.66837,8228221.0
270.90326,278.85605,265.24384,282.5332,281.64847,8527280.0
281.3904,286.14645,274.12677,297.29416,281.33643,8434155.0
309.38376,316.43,305.12225,331.8386,329.0691,8278504.5
344.21027,343.88815,339.93515,374.96997,355.15164,6884240.0
361.61807,369.08365,361.2768,374.84586,356.2607,5989102.5
347.21674,358.7027,330.7098,351.70572,358.53928,7532155.5
325.80093,340.59628,321.5579,350.936,343.63724,7587848.0
334.1796,348.27066,339.24243,356.0755,345.6585,6927893.5
352.86722,355.45328,346.54944,359.04416,347.8069,6151478.5
352.65054,362.61853,345.21457,351.69318,357.58453,7707036.5
362.56613,368.28622,352.99298,372.28967,362.09946,5586564.0
400.777,417.01712,397.4155,434.60168,417.35983,5960867.0
451.84915,459.21893,451.57394,471.90833,456.76144,5015833.5
424.47287,427.63193,411.1041,437.43185,427.80536,5174413.5
385.01013,394.93405,383.73566,402.4035,391.70898,6203422.0
388.20267,391.99985,390.6746,388.67944,379.32886,4718984.0
392.26486,399.81647,385.15375,414.01596,394.27716,5291503.0
357.00543,366.52673,342.87033,362.50946,353.86807,6490553.5
352.94943,365.3969,349.78702,363.39127,356.97656,5955963.5
337.25925,345.24036,332.72842,346.28586,341.2715,6431225.5
356.9921,350.30774,341.56564,357.24893,344.59686,6658308.5
320.58566,338.16586,329.87973,338.78937,334.71756,7231340.5
357.73303,356.00708,348.76758,344.6026,341.85104,5704465.0
362.24664,357.82355,349.95636,350.8274,338.95,5152913.5
365.21533,363.42807,347.09943,350.15582,356.72348,6805481.5
356.03,361.90765,350.21326,367.11707,352.94235,6055544.0
358.37067,367.72375,348.28372,358.6034,356.04636,6138939.5
341.40933,344.691,339.97675,361.63892,344.37982,6892658.0
375.89258,375.59656,367.5449,377.08725,363.96707,5287258.5
385.66537,386.6378,382.36356,405.48904,392.63522,5440274.0
389.2609,384.0552,383.23062,397.5179,391.74683,6098475.0
399.51764,396.23856,385.12216,418.63773,405.78058,5727376.0
392.50662,399.57605,386.94263,402.6065,389.90985,5168486.5
436.05533,447.35175,444.73477,425.17282,420.0506,5209128.5
425.41806,428.9813,412.63745,430.4292,417.70486,4880650.0
394.5406,396.42172,380.9722,416.35394,413.54892,6730482.0
369.89084,380.8856,368.19186,388.58713,376.40552,5381540.5
378.7746,372.57697,363.85983,355.43323,354.37555,5358521.5
367.44778,384.69873,365.4762,370.7231,371.8163,6598167.0
384.64755,388.82355,379.4009,393.98398,375.87738,6245640.0
423.8106,429.2821,415.29642,419.6827,413.57236,4987471.5
466.7444,477.36667,458.81915,445.37167,445.47787,4466765.5
483.6804,484.28134,476.0385,486.57993,477.47653,4842476.5
506.86404,512.64154,493.21152,517.2781,499.20615,4564328.0
503.11923,507.2358,495.30234,499.43927,502.79065,4123969.0
509.79755,511.08405,503.72113,511.51074,504.9956,4096339.8
480.20328,500.57883,476.75592,490.00623,485.97464,4633598.5
479.93283,481.98828,466.40118,477.07684,476.64667,4232497.5
487.1023,500.47495,468.21454,494.32944,485.976,4223833.0
496.941,498.09238,478.4996,474.14206,475.01523,4564698.0
513.445,514.1392,489.9626,506.37955,504.64005,3503744.2
500.48578,502.7946,492.0525,490.45248,488.98984,3702554.5
462.22076,473.5033,452.52045,483.40057,481.27545,5114168.0
488.5596,490.97507,474.7693,505.0445,490.44626,4243409.0
482.0636,487.42685,477.3716,496.52838,480.31277,4169455.2
455.12857,473.61105,454.121,474.40073,458.73523,4385318.5
460.43637,467.7529,463.49847,460.05313,454.16418,3943565.8
466.3101,478.7459,456.8953,467.68616,460.80786,4221383.5
487.7121,502.94693,489.82706,498.40994,499.56952,3942966.5
487.4833,494.39532,484.54123,503.48257,485.15662,4214796.0
473.4961,483.60638,468.8981,461.255,470.0586,4180401.2
470.67056,466.48907,465.33054,480.06204,472.86655,4240387.5
489.39575,506.5966,481.1352,507.96878,498.1802,3845546.8
453.85886,459.2298,451.2884,464.2881,459.65533,4663366.0
472.70422,480.4047,457.94308,471.11148,469.9702,4445366.5
448.33246,450.3745,431.2,437.12955,429.69687,4813663.5
463.06192,452.7506,450.11536,472.4317,463.10443,4280186.5
467.41583,478.91608,461.26862,470.48184,459.1586,4285151.0
471.28867,477.62106,458.4416,477.46936,458.54367,4330731.0
444.9712,453.33557,437.9724,446.70935,438.62085,4398413.0
448.2692,440.36282,435.44412,428.8365,426.4198,4713410.0
433.32956,433.42896,426.37042,429.73328,422.71338,4665800.5
426.53006,429.0485,408.7004,407.90295,409.66245,4370455.5
375.74762,376.33798,362.53598,375.59048,370.62173,5393912.5
375.0568,370.986,367.65494,369.11368,360.9872,5057842.0
371.3096,363.89124,357.4445,356.05704,351.71976,5426042.5
322.2637,336.54727,318.18698,331.4813,332.13885,6126871.0
326.40848,330.2599,312.99307,325.64087,325.17996,6828927.5
353.0356,366.02826,358.26123,352.2189,346.28006,7384075.0
372.23077,394.04306,375.46896,423.81378,400.79968,6045875.5
406.9141,407.81534,403.39496,425.8511,416.45917,5921423.5
399.5944,402.009,390.46786,401.75558,400.71555,5400288.0
369.56818,375.03458,358.46832,375.42245,369.16992,5841747.5
373.10608,373.0459,360.60214,356.02554,353.5345,5363661.5
326.6113,332.07657,317.4019,341.26498,342.07104,7234016.5
329.63852,338.70502,335.02835,356.5828,342.02954,6487842.5
338.5072,340.05548,335.3755,344.06918,336.31433,5888141.0
301.9668,325.48132,308.65515,334.90308,332.91602,8776117.0
314.79102,310.22574,293.8818,309.11475,302.8054,7517021.5
329.54544,338.15384,321.52307,326.2196,330.879,6692141.0
328.6129,337.73083,325.31165,351.36093,337.95224,6580936.5
320.1326,311.70047,300.1424,312.04456,313.99594,6758037.0
324.56345,324.1565,316.47134,339.4882,331.94745,8129104.5
310.54803,323.7558,309.83923,332.1183,323.53256,7024696.5
297.28568,307.62192,289.82498,306.49313,298.37143,8234086.5
290.04865,300.42578,291.09555,321.48148,307.58514,9914954.0
278.8,278.7632,273.90778,287.1385,280.92392,8234935.0
269.7909,275.76245,259.79126,278.1294,270.59018,9777702.0
294.64365,320.43616,293.784,314.18103,310.81003,8353635.0
297.9142,309.50067,289.51077,305.2066,303.8128,7437880.5
297.8275,303.6444,293.6498,286.93805,287.68042,7390350.0
281.28,287.00864,275.36285,277.84933,277.08243,7845976.5
311.941,327.3003,321.4158,343.9795,336.76898,8459954.0
308.18192,317.37042,301.04843,334.61664,319.5514,7511943.0
351.21884,361.83444,352.30255,370.429,357.2512,6845988.0
363.15402,373.6826,354.78363,376.81702,367.3729,5663497.5
368.1012,364.38358,349.8857,364.46835,354.79645,5687451.5
361.13135,372.1409,358.3252,374.23746,368.33386,6095493.0
349.5418,346.23444,333.96378,337.52637,336.73242,6138596.5
359.0262,352.97055,339.178,349.21658,342.67346,5958390.5
361.56012,365.21744,347.04044,360.11166,358.37122,6903192.0
321.78638,327.47943,315.06277,329.15204,316.51212,6289400.0
330.62784,333.6417,318.10266,325.67303,320.73865,6737977.5
337.90622,350.8684,338.67603,358.79855,340.62363,6655640.0
355.6061,361.9673,351.0154,367.04742,353.47763,5730821.5
357.161,356.85666,344.6408,338.21762,345.9991,5934823.5
371.97467,385.1345,380.39224,407.2847,394.19455,8050684.0
391.50266,390.10095,375.3763,394.19012,379.11407,5964559.0
380.71722,381.114,370.14392,377.57114,368.5041,5040436.0
353.4375,355.53424,346.51965,344.65527,346.01523,5653348.0
349.32547,348.6099,330.20013,345.89816,347.48975,6403825.5
360.33673,351.45972,340.6579,349.6863,345.7989,6556506.0
368.07986,369.09088,355.0314,370.33087,362.71967,6421096.0
382.06082,370.2547,359.98975,365.0687,364.30222,5326240.5
381.5939,380.9545,374.88373,379.56647,371.1887,5119833.5
386.03745,387.44757,376.60736,386.84766,377.91168,5892753.5
390.58316,396.83408,380.95807,380.59998,377.4775,4741049.0
401.57507,403.4637,386.2065,394.41232,386.40292,5007459.5
357.76187,385.25735,363.12106,396.2374,393.3984,6968141.0
390.5393,390.96588,380.3631,403.52618,394.19986,5780865.5
372.09796,369.86218,359.26044,358.21475,355.58478,5417775.0
367.154,372.70953,354.09448,383.76227,380.02887,7814438.0
375.62115,374.2678,364.04367,398.95535,378.58875,5511308.0
372.17654,378.58313,367.15063,380.88467,366.51215,5303768.5
384.21667,398.528,381.18057,418.77298,406.98712,6012223.0
398.04776,406.51465,397.33188,412.12122,401.03552,5590769.5
427.24646,430.50244,425.76443,426.09387,421.41406,5036277.5
451.84204,453.34738,442.73096,468.65332,449.43887,4778492.0
459.2433,461.45715,443.7524,454.37128,445.25137,5175540.5
459.4925,464.4156,455.88828,470.4609,462.56894,4412817.0
504.44983,507.66656,481.42896,483.07303,479.81863,3818391.2
510.8849,531.19165,512.733,545.1844,530.1462,3938808.0
530.1818,526.58563,512.9216,515.6074,506.3131,3337458.8
545.7693,545.7918,530.8975,557.7753,543.13354,4274747.5
567.288,578.2285,552.9074,577.7926,564.5121,3717380.2
584.3352,592.92114,577.09357,598.3548,581.21124,3393992.2
592.1038,597.9641,569.2185,605.3925,592.20026,3932910.8
606.40063,602.87854,584.16656,597.19794,600.5686,3216561.0
612.0776,629.9866,611.5428,626.1984,616.9875,3411629.8
611.1611,621.21844,603.86053,608.99,601.5638,2797262.8
619.0839,630.52856,609.29156,623.11755,616.83374,3312683.5
597.0952,606.9697,576.1261,577.7408,588.93787,3161621.0
622.8173,620.25323,611.93915,609.63153,598.8493,2893168.0
658.451,661.7782,652.7793,643.82306,642.8306,3042652.0
669.1155,676.6624,667.22736,675.6445,664.4096,2806780.8
680.72144,685.8254,672.31854,681.9805,676.5328,2630644.5
656.5034,685.9569,652.55566,653.5072,656.9831,2746725.2
665.4448,664.5981,644.30206,650.6389,646.2184,2550342.0
708.4889,709.977,702.21643,701.02625,694.1698,2402676.0
756.3473,753.70544,738.57965,750.7367,736.3114,2258665.0
729.3251,761.0486,732.15765,750.93823,742.7545,2676182.5
803.288,808.5844,784.8422,787.3472,783.8733,2087279.1
