timestamp,OPEN,HIGH,LOW,CLOSE,VOLUME,PriceRange
1485162060.0,9.544,9.564,9.533,9.564,25280.0,0.031000000000000583
1485162240.0,9.552,9.552,9.552,9.552,788.0,0.0
1485162300.0,9.552,9.552,9.552,9.552,820.0,0.0
1485162360.0,9.552,9.552,9.548,9.548,988.0,0.0039999999999995595
1485162420.0,9.549,9.549,9.549,9.549,970.0,0.0
1485162480.0,9.549,9.549,9.544,9.544,850.0,0.004999999999999005
1485162600.0,9.542,9.542,9.541,9.541,893.0,0.0009999999999994458
1485162720.0,9.536,9.536,9.536,9.536,260.0,0.0
1485162780.0,9.521,9.521,9.52,9.52,1602.0,0.0010000000000012221
1485162900.0,9.528,9.534,9.528,9.534,1591.0,0.006000000000000227
1485163020.0,9.542,9.547,9.537,9.547,6645.0,0.009999999999999787
1485163080.0,9.548,9.548,9.547,9.547,505.0,0.0009999999999994458
1485163140.0,9.554,9.559,9.554,9.559,3677.0,0.004999999999999005
1485163200.0,9.563,9.582,9.563,9.58,7320.0,0.019000000000000128
1485163260.0,9.57,9.582,9.57,9.582,574.0,0.012000000000000455
1485163320.0,9.58,9.58,9.58,9.58,7694.0,0.0
1485163620.0,9.585,9.59,9.585,9.59,1954.0,0.004999999999999005
1485163680.0,9.59,9.59,9.589,9.59,5357.0,0.0009999999999994458
1485163860.0,9.577,9.577,9.577,9.577,2788.0,0.0
1485163920.0,9.575,9.575,9.571,9.571,401.0,0.0039999999999995595
1485163980.0,9.571,9.571,9.571,9.571,32.0,0.0
1485164040.0,9.57,9.571,9.57,9.571,1840.0,0.0009999999999994458
1485164100.0,9.57,9.57,9.57,9.57,470.0,0.0
1485164160.0,9.567,9.567,9.567,9.567,55.0,0.0
1485164220.0,9.567,9.57,9.567,9.57,991.0,0.0030000000000001137
1485164400.0,9.57,9.576,9.57,9.576,1603.0,0.006000000000000227
1485164460.0,9.564,9.564,9.548,9.564,11762.0,0.016000000000000014
1485164520.0,9.558,9.57,9.558,9.57,1567.0,0.012000000000000455
1485164640.0,9.572,9.573,9.572,9.573,1300.0,0.0010000000000012221
1485164760.0,9.568,9.568,9.568,9.568,104.0,0.0
1485164820.0,9.563,9.563,9.563,9.563,1156.0,0.0
1485164940.0,9.563,9.563,9.561,9.561,293.0,0.002000000000000668
1485165120.0,9.57,9.57,9.57,9.57,500.0,0.0
1485165240.0,9.57,9.571,9.569,9.57,3673.0,0.0019999999999988916
1485165360.0,9.564,9.564,9.564,9.564,772.0,0.0
1485165420.0,9.57,9.57,9.57,9.57,260.0,0.0
1485165480.0,9.563,9.563,9.563,9.563,145.0,0.0
1485165600.0,9.566,9.566,9.566,9.566,447.0,0.0
1485165660.0,9.566,9.566,9.565,9.565,2756.0,0.0010000000000012221
1485165720.0,9.564,9.566,9.564,9.566,3476.0,0.002000000000000668
1485165840.0,9.563,9.563,9.561,9.561,307.0,0.002000000000000668
1485165960.0,9.561,9.561,9.561,9.561,317.0,0.0
1485166140.0,9.561,9.562,9.56,9.562,1453.0,0.0019999999999988916
